date,state,inpatient_beds
2022-03-20,SD,1253.6999999999998
2022-03-20,TN,12252.6
2022-03-20,TX,42478.6
2022-03-20,UT,3586.7999999999997
2022-03-20,VA,11453.3
2022-03-20,VI,95.6
2022-03-20,VT,830.0
2022-03-20,WA,8891.2
2022-03-20,WI,7535.1
2022-03-20,WV,3757.5
2022-03-20,WY,558.6999999999999
2022-03-27,AK,1058.0
2022-03-27,AL,9482.6
2022-03-27,AR,5092.3
2022-03-27,AS,71.0
2022-03-27,AZ,10246.4
2022-03-27,CA,45253.4
2022-03-27,CO,6688.4
2022-03-27,CT,5605.2
2022-03-27,DC,2199.7
2022-03-27,DE,1960.3000000000002
2022-03-27,FL,41030.9
2022-03-27,GA,14564.6
2022-03-27,GU,217.0
2022-03-27,HI,1840.5
2022-03-27,IA,4406.0
2022-03-27,ID,1807.0
2022-03-27,IL,18870.3
2022-03-27,IN,10415.2
2022-03-27,KS,4508.4
2022-03-27,KY,7111.0
2022-03-27,LA,8037.0
2022-03-27,MA,13147.0
2022-03-27,MD,7973.1
2022-03-27,ME,2044.3
2022-03-27,MI,15239.699999999999
2022-03-27,MN,7218.2
2022-03-27,MO,11524.9
2022-03-27,MP,50.1
2022-03-27,MS,4869.2
2022-03-27,MT,1610.6
2022-03-27,NC,15884.0
2022-03-27,ND,1367.6
2022-03-27,NE,2978.1
2022-03-27,NH,1975.1000000000001
2022-03-27,NJ,13500.3
2022-03-27,NM,2528.4
2022-03-27,NV,5362.8
2022-03-27,NY,33247.1
2022-03-27,OH,19172.1
2022-03-27,OK,5794.0
2022-03-27,OR,5143.9
2022-03-27,PA,21992.2
2022-03-27,PR,4978.7
2022-03-27,RI,1492.5
2022-03-27,SC,7316.8
2022-03-27,SD,1212.5
2022-03-27,TN,12273.2
2022-03-27,TX,42334.9
2022-03-27,UT,3701.0
2022-03-27,VA,11355.9
2022-03-27,VI,93.3
2022-03-27,VT,799.5999999999999
2022-03-27,WA,8900.4
2022-03-27,WI,7588.9
2022-03-27,WV,3673.0
2022-03-27,WY,553.1999999999999
