state,date,series_complete_yes,booster_doses
MI,2022-03-13,5942825.428571428,3149077.285714286
MI,2022-03-20,5951689.428571428,3164030.285714286
MI,2022-03-27,5959821.428571428,3179847.8571428573
MI,2022-04-03,5966177.75,3192980.0
MN,2022-01-02,3694207.0,1716855.0
MN,2022-01-09,3709639.4285714286,1779091.4285714286
MN,2022-01-16,3732628.0,1870358.0
MN,2022-01-23,3753733.285714286,1946213.142857143
MN,2022-01-30,3773041.285714286,2012566.5714285714
MN,2022-02-06,3789685.8571428573,2056924.4285714286
MN,2022-02-13,3809310.5714285714,2093415.857142857
MN,2022-02-20,3825008.4285714286,2117667.8571428573
MN,2022-02-27,3838727.5714285714,2136142.1428571427
MN,2022-03-06,3852643.5714285714,2154254.285714286
MN,2022-03-13,3861067.5714285714,2167820.0
MN,2022-03-20,3866940.285714286,2178341.8571428573
MN,2022-03-27,3872021.1428571427,2188409.714285714
MN,2022-04-03,3875537.5,2195931.5
MO,2022-01-02,3258083.0,1100783.0
MO,2022-01-09,3264947.714285714,1122545.0
MO,2022-01-16,3284842.1428571427,1190756.5714285714
MO,2022-01-23,3311019.714285714,1253021.5714285714
MO,2022-01-30,3328100.1428571427,1295391.857142857
MO,2022-02-06,3342798.4285714286,1327394.142857143
MO,2022-02-13,3354161.714285714,1342204.7142857143
MO,2022-02-20,3367576.285714286,1360225.857142857
MO,2022-02-27,3377608.0,1374096.5714285714
MO,2022-03-06,3386125.714285714,1386922.7142857143
MO,2022-03-13,3394837.8571428573,1398691.2857142857
MO,2022-03-20,3401295.714285714,1407349.857142857
MO,2022-03-27,3406634.1428571427,1415613.7142857143
MO,2022-04-03,3410014.25,1421807.75
MP,2022-01-02,39878.0,13714.0
MP,2022-01-09,40564.42857142857,14339.142857142857
MP,2022-01-16,41233.142857142855,15259.857142857143
MP,2022-01-23,41646.142857142855,16094.57142857143
MP,2022-01-30,41925.0,16859.571428571428
MP,2022-02-06,42149.142857142855,17385.0
MP,2022-02-13,42377.28571428572,18043.85714285714
MP,2022-02-20,42556.28571428572,18482.714285714286
MP,2022-02-27,42726.28571428572,18870.285714285714
MP,2022-03-06,42931.71428571428,19299.714285714286
MP,2022-03-13,43024.71428571428,19619.285714285714
MP,2022-03-20,43065.142857142855,19833.571428571428
MP,2022-03-27,43109.28571428572,20098.571428571428
MP,2022-04-03,43151.5,20320.25
MS,2022-01-02,1430657.0,355067.0
MS,2022-01-09,1448541.5714285714,423974.28571428574
MS,2022-01-16,1456854.7142857143,453779.0
MS,2022-01-23,1474356.142857143,486739.71428571426
MS,2022-01-30,1485723.0,505520.0
MS,2022-02-06,1494372.5714285714,517739.85714285716
MS,2022-02-13,1501505.857142857,526642.5714285715
MS,2022-02-20,1507551.2857142857,533870.0
MS,2022-02-27,1512867.2857142857,539650.8571428572
MS,2022-03-06,1517574.5714285714,545034.2857142857
MS,2022-03-13,1521754.4285714286,549249.8571428572
MS,2022-03-20,1525786.2857142857,553008.5714285715
MS,2022-03-27,1529154.2857142857,557077.1428571428
MS,2022-04-03,1531032.25,559517.25
MT,2022-01-02,577429.0,229953.0
MT,2022-01-09,579121.7142857143,235519.42857142858
MT,2022-01-16,581768.7142857143,244288.57142857142
MT,2022-01-23,586221.5714285715,252970.57142857142
MT,2022-01-30,589520.2857142857,260989.14285714287
MT,2022-02-06,591489.4285714285,265997.5714285714
MT,2022-02-13,593456.8571428572,269923.0
MT,2022-02-20,595368.0,272997.85714285716
MT,2022-02-27,597108.5714285715,275368.28571428574
MT,2022-03-06,598577.1428571428,277173.85714285716
MT,2022-03-13,599705.1428571428,278892.28571428574
MT,2022-03-20,600637.8571428572,280227.71428571426
MT,2022-03-27,601801.2857142857,281960.85714285716
MT,2022-04-03,602374.75,282831.25
NC,2022-01-02,5965690.0,1225998.0
NC,2022-01-09,5984213.571428572,1264800.7142857143
NC,2022-01-16,6019157.571428572,1343822.4285714286
NC,2022-01-23,6070261.0,1403990.5714285714
NC,2022-01-30,6110141.285714285,1447671.5714285714
NC,2022-02-06,6142073.714285715,1484115.2857142857
NC,2022-02-13,6171124.857142857,1514284.142857143
NC,2022-02-20,6194461.428571428,1538326.7142857143
NC,2022-02-27,6215064.428571428,1558073.857142857
NC,2022-03-06,6231685.0,1575561.2857142857
NC,2022-03-13,6246551.571428572,1594069.857142857
NC,2022-03-20,6260531.714285715,1610197.2857142857
NC,2022-03-27,6270224.0,1621209.857142857
NC,2022-04-03,6278159.25,1630476.0
ND,2022-01-02,401097.0,146629.0
ND,2022-01-09,402835.85714285716,150352.2857142857
ND,2022-01-16,405215.0,155570.42857142858
ND,2022-01-23,408559.0,159063.7142857143
ND,2022-01-30,410598.5714285714,161633.14285714287
ND,2022-02-06,411727.28571428574,163773.85714285713
ND,2022-02-13,412751.4285714286,165105.0
ND,2022-02-20,413761.71428571426,165988.2857142857
ND,2022-02-27,414558.85714285716,166585.7142857143
ND,2022-03-06,415168.4285714286,167026.14285714287
ND,2022-03-13,415496.5714285714,167240.14285714287
ND,2022-03-20,415806.28571428574,167457.42857142858
ND,2022-03-27,416110.71428571426,167697.42857142858
ND,2022-04-03,416315.75,167884.25
NE,2022-01-02,1157882.0,464252.0
NE,2022-01-09,1163909.4285714286,484787.14285714284
NE,2022-01-16,1170821.142857143,510877.0
NE,2022-01-23,1180344.2857142857,530909.0
NE,2022-01-30,1187541.2857142857,548770.5714285715
NE,2022-02-06,1193155.7142857143,560395.4285714285
NE,2022-02-13,1198734.857142857,569014.2857142857
NE,2022-02-20,1203152.857142857,575145.1428571428
NE,2022-02-27,1207035.4285714286,580512.4285714285
NE,2022-03-06,1210096.7142857143,584888.0
NE,2022-03-13,1212307.142857143,587777.8571428572
NE,2022-03-20,1214519.2857142857,590939.1428571428
NE,2022-03-27,1216363.4285714286,593931.1428571428
NE,2022-04-03,1219112.5,602665.0
NH,2022-01-02,915481.0,132383.0
NH,2022-01-09,917344.4285714285,136250.42857142858
NH,2022-01-16,922696.7142857143,152956.57142857142
NH,2022-01-23,928605.5714285715,168347.2857142857
NH,2022-01-30,933271.5714285715,176608.85714285713
NH,2022-02-06,937304.7142857143,183219.14285714287
NH,2022-02-13,941416.7142857143,189190.85714285713
NH,2022-02-20,945417.1428571428,194629.14285714287
NH,2022-02-27,937474.2857142857,197729.85714285713
NH,2022-03-06,935628.2857142857,214895.42857142858
NH,2022-03-13,944103.2857142857,250724.0
NH,2022-03-20,944487.0,284058.28571428574
NH,2022-03-27,925260.4285714285,300164.71428571426
NH,2022-04-03,931798.5,329000.25
NJ,2022-01-02,6268124.0,2145408.0
NJ,2022-01-09,6295556.714285715,2246586.0
NJ,2022-01-16,6343109.428571428,2411715.8571428573
NJ,2022-01-23,6387361.428571428,2553115.4285714286
NJ,2022-01-30,6430626.857142857,2669765.285714286
NJ,2022-02-06,6483783.428571428,2762998.714285714
NJ,2022-02-13,6529442.0,2837451.0
NJ,2022-02-20,6559949.428571428,2892463.1428571427
NJ,2022-02-27,6583798.0,2945681.285714286
NJ,2022-03-06,6604569.285714285,2995783.5714285714
NJ,2022-03-13,6621077.571428572,3024632.4285714286
NJ,2022-03-20,6634271.428571428,3046233.5714285714
NJ,2022-03-27,6645518.0,3066627.285714286
NJ,2022-04-03,6653194.0,3081734.0
NM,2022-01-02,1391377.0,547206.0
NM,2022-01-09,1395369.4285714286,557330.0
NM,2022-01-16,1405812.0,591042.4285714285
NM,2022-01-23,1419558.2857142857,622876.1428571428
NM,2022-01-30,1429251.5714285714,647467.7142857143
NM,2022-02-06,1436410.0,663643.1428571428
NM,2022-02-13,1443797.142857143,675371.2857142857
NM,2022-02-20,1451645.4285714286,686567.5714285715
NM,2022-02-27,1457732.4285714286,695324.8571428572
NM,2022-03-06,1462468.0,702430.5714285715
NM,2022-03-13,1466257.2857142857,708134.7142857143
NM,2022-03-20,1469410.4285714286,712669.2857142857
NM,2022-03-27,1472225.857142857,716913.2857142857
NM,2022-04-03,1474278.75,720134.0
NV,2022-01-02,1742748.0,518551.0
NV,2022-01-09,1749707.0,537995.8571428572
NV,2022-01-16,1762526.5714285714,576090.1428571428
NV,2022-01-23,1781343.2857142857,606931.8571428572
NV,2022-01-30,1795071.2857142857,629938.4285714285
NV,2022-02-06,1806234.0,646716.4285714285
NV,2022-02-13,1816651.7142857143,659689.2857142857
NV,2022-02-20,1827634.7142857143,670771.1428571428
NV,2022-02-27,1835726.4285714286,678434.7142857143
NV,2022-03-06,1841247.142857143,684907.4285714285
NV,2022-03-13,1846040.0,690192.5714285715
